Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
13-20,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),No,None,Music,All,Night,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours,Study Hours, While Traveling, leisure time","Playlists, Others",3,Daily,Spiritual and devotional,Conversational,None,Shorter,Ok
20-35,Male,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Podcast,All,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time",Playlists,5,Never,Sports,Educational,Both,Longer,Ok
20-35,Female,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,None,Music,trending songs random,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time",Playlists,3,Once a week,Sports,None,Well known individuals,Both,Ok
20-35,Male,6 months to 1 year,Smart speakers or voice assistants,Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,classical,Morning,"Relaxation and stress relief, Social gatherings or parties","Office hours, Study Hours, While Traveling","Playlists, Others",1,Daily,Murder Mystery ,Conversational,unknown Podcasters,None,Satisfied
13-20,Male,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Old songs,Morning,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, Workout session","recommendations, Radio, Others",2,Several times a week,Educational ,Story telling,Both,None,Very Satisfied
20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Student Plan-Rs 59/month,Music,"Classical & melody, dance",Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","Others, Social media",1,Rarely,Spiritual and devotional,Educational,Well known individuals,Shorter,Ok
13-20,Female,6 months to 1 year,"Smartphone, Wearable devices",Free (ad-supported),Yes,None,Music,trending songs random,Night,Relaxation and stress relief,"Study Hours, While Traveling, Workout session, leisure time","Radio, Others",2,Once a week,None,Interview,unknown Podcasters,Longer,Satisfied
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Rock,Afternoon,"Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","Playlists, Radio",4,Once a week,Food and cooking,Educational,Both,Both,Very Satisfied
35-60,Male,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Podcast,Old songs,Afternoon,"Sadness or melancholy, Social gatherings or parties","Study Hours, Workout session, leisure time","recommendations, Radio, Others",3,Rarely,Health and Fitness,Educational,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Computer or laptop,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Others",4,Several times a week,Finance related and current affairs,None,unknown Podcasters,None,Dissatisfied
13-20,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,"recommendations, Playlists",2,Never,Everything,Interview,Well known individuals,None,Dissatisfied
20-35,Male,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,None,Podcast,Pop,Afternoon,Relaxation and stress relief,"Office hours, Study Hours, While Traveling","recommendations, Radio, Others",5,Several times a week,Finance related and current affairs,None,None,Shorter,Very Dissatisfied
20-35,Male,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,Old songs,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Social gatherings ,Others,2,Daily,Informative stuff,Conversational,Both,Longer,Very Dissatisfied
13-20,Male,1 year to 2 years,"Smartphone, Computer or laptop, Wearable devices",Premium (paid subscription),No,Individual Plan- Rs 119/ month,Podcast,Rap,Night,"Relaxation and stress relief, Sadness or melancholy",Office hours,"recommendations, Radio",4,Several times a week,Dance and Relevant cases ,Educational,Well known individuals,Both,Very Satisfied
35-60,Male,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,All,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Before bed ","recommendations, Playlists, Radio",3,Once a week,Everything,Conversational,unknown Podcasters,Shorter,Very Dissatisfied
20-35,Male,Less than 6 months,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time",recommendations,2,Daily,Technology,Story telling,Well known individuals,Longer,Satisfied
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time, Night time, when cooking",recommendations,5,Once a week,General knowledge ,Educational,Both,Longer,Ok
20-35,Male,1 year to 2 years,"Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,None,Music,Old songs,Night,"Uplifting and motivational, Sadness or melancholy",Office hours,"recommendations, Radio",5,Rarely,General knowledge ,Conversational,Well known individuals,Longer,Satisfied
13-20,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Music,classical,Morning,"Sadness or melancholy, Social gatherings or parties","Study Hours, Workout session","recommendations, Playlists, Radio, Others",2,Daily,General knowledge ,Conversational,Both,Both,Very Dissatisfied
20-35,Male,More than 2 years,Computer or laptop,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Kpop,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session","recommendations, Playlists, Radio",1,Rarely,Technology,Interview,Well known individuals,Both,Very Satisfied
13-20,Male,More than 2 years,Smart speakers or voice assistants,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Podcast,All,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Study Hours, Workout session, leisure time","recommendations, Others, Social media",4,Never,Educational ,Story telling,unknown Podcasters,Both,Dissatisfied
35-60,Male,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Family Plan-Rs 179/month,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Playlists, Radio, Others",1,Daily,Business,Educational,Both,Longer,Very Dissatisfied
13-20,Male,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Student Plan-Rs 59/month,Podcast,Pop,Afternoon,"Relaxation and stress relief, Sadness or melancholy","Study Hours, Workout session","recommendations, Others",5,Several times a week,Dance and Relevant cases ,Educational,unknown Podcasters,Both,Very Dissatisfied
13-20,Male,6 months to 1 year,"Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,None,Music,"Classical & melody, dance",Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Others, Social media",5,Never,Educational ,Interview,unknown Podcasters,Both,Very Dissatisfied
13-20,Male,Less than 6 months,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Rock,Night,"Relaxation and stress relief, Uplifting and motivational",Social gatherings ,"recommendations, Playlists, Radio, Others",5,Several times a week,Health and Fitness,Interview,Well known individuals,Longer,Dissatisfied
13-20,Female,6 months to 1 year,Computer or laptop,Premium (paid subscription),Yes,None,Podcast,Pop,Morning,"Uplifting and motivational, Social gatherings or parties","Office hours, leisure time",Radio,1,Never,"Political, informative, topics that interests me",Educational,Both,Both,Very Satisfied
20-35,Female,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,None,Podcast,Kpop,Afternoon,"Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time","Radio, Others",5,Never,Technology,Interview,Both,Shorter,Ok
20-35,Male,1 year to 2 years,"Smartphone, Wearable devices",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours,Study Hours, While Traveling, leisure time","recommendations,Others, Social media",3,Never,Stories ,Story telling,None,None,Satisfied
13-20,Male,Less than 6 months,Computer or laptop,Free (ad-supported),No,Duo plan- Rs 149/month,Podcast,All,Morning,Sadness or melancholy,"Office hours, Study Hours, While Traveling, Workout session, leisure time, ",Radio,2,Once a week,Technology,Educational,None,None,Very Satisfied
20-35,Female,Less than 6 months,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting and motivational,"Office hours, While Traveling, ","recommendations, Playlists",5,Once a week,General knowledge ,None,unknown Podcasters,None,Dissatisfied
35-60,Male,Less than 6 months,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),No,Family Plan-Rs 179/month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling","Others, Social media",1,Rarely,Finance related and current affairs,None,Well known individuals,Longer,Satisfied
20-35,Male,1 year to 2 years,"Computer or laptop, Wearable devices",Free (ad-supported),No,None,Podcast,Kpop,Afternoon,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Social gatherings ,"recommendations, Radio",1,Never,Sports,Story telling,None,Shorter,Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,All,Night,"Uplifting and motivational, Sadness or melancholy",Workout session,recommendations,3,Rarely,"Political, informative, topics that interests me",None,None,Shorter,Dissatisfied
35-60,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Free (ad-supported),No,Family Plan-Rs 179/month,Podcast,trending songs random,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours,Study Hours, While Traveling, leisure time","Playlists, Radio",2,Several times a week,Self help,Story telling,Well known individuals,Both,Ok
35-60,Female,Less than 6 months,"Smartphone, Computer or laptop",Premium (paid subscription),No,Family Plan-Rs 179/month,Podcast,Kpop,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, Workout session","recommendations, Playlists, Radio, Others",3,Daily,Dance and Relevant cases ,Conversational,Well known individuals,None,Satisfied
20-35,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Old songs,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Before bed ","recommendations, Playlists, Radio",2,Once a week,Spiritual and devotional,Story telling,None,None,Very Satisfied
20-35,Male,More than 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,None,Podcast,All,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling, Workout session, leisure time",Playlists,5,Several times a week,Informative stuff,Educational,unknown Podcasters,Both,Very Satisfied
